,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding
480,20260323_18,None,None,None,None
481,20260323_35,None,None,Reactive,None
482,20260323_47,None,None,None,None
483,20260323_54,None,None,None,None
484,20260323_82,Reactive,Both,Both,Predictive
485,20260323_90,None,None,None,None
486,20260323_94,None,None,None,None
487,20260323_97,None,None,None,None
488,20260323_104,Reactive,Both,Both,Predictive
489,20260323_108,None,None,None,None
490,20260323_112,None,None,None,None
491,20260323_114,None,None,None,None
513,20260324_5,Reactive,None,None,None
514,20260324_13,None,None,None,None
515,20260324_22,None,None,Reactive,None
516,20260324_32,Both,Reactive,Both,None
517,20260324_35,Reactive,None,None,None
518,20260324_38,Reactive,None,None,None
519,20260324_47,Both,None,Both,Reactive
520,20260324_55,Reactive,Reactive,Reactive,None
521,20260324_57,None,None,Reactive,None
522,20260324_59,Reactive,None,None,None
523,20260324_66,Reactive,None,None,None
524,20260324_88,None,None,None,None
525,20260324_91,None,None,None,None
526,20260324_93,Reactive,None,None,None
527,20260324_95,Reactive,None,None,None
528,20260324_106,None,None,None,None
529,20260324_111,None,None,Reactive,None
530,20260324_117,None,None,Reactive,None
531,20260324_118,None,None,Reactive,None
550,20260326_7,Reactive,None,None,None
551,20260326_13,Reactive,Both,Both,Reactive
552,20260326_21,None,None,None,None
553,20260326_42,Reactive,Reactive,Reactive,None
554,20260326_79,None,None,None,None
555,20260326_99,Reactive,None,Reactive,Reactive
556,20260326_105,None,None,None,None
557,20260326_110,None,None,None,None
558,20260326_112,Reactive,None,None,None
559,20260326_113,None,None,None,None
560,20260326_117,None,None,None,None
561,20260326_119,Both,Both,Reactive,Both
562,20260326_123,Reactive,None,Reactive,None
563,20260326_132,None,None,None,None
564,20260326_141,None,None,None,None
565,20260326_144,None,None,None,None
592,20260331_9,None,None,None,None
593,20260331_10,None,None,Reactive,None
594,20260331_19,None,None,None,None
595,20260331_40,Reactive,Predictive,Both,Both
596,20260331_64,None,None,None,None
597,20260331_79,None,None,None,None
598,20260331_109,Reactive,Predictive,Both,Both
599,20260331_111,None,None,None,None
600,20260331_120,None,None,None,None
601,20260331_138,Predictive,Both,Reactive,None
602,20260331_146,None,None,None,None
603,20260331_148,None,None,None,None
604,20260331_150,None,None,None,None
605,20260331_152,None,None,None,None
606,20260403_7,None,None,None,None
607,20260403_13,None,Reactive,None,None
608,20260403_19,None,None,None,None
609,20260403_37,Both,None,Reactive,None
610,20260403_55,None,None,None,None
611,20260403_93,None,None,None,None
612,20260403_99,None,None,None,None
613,20260403_112,Reactive,Predictive,Reactive,Both
614,20260406_9,None,None,None,None
615,20260406_18,None,None,None,None
616,20260406_47,None,None,None,None
617,20260406_51,None,None,None,None
618,20260406_78,None,None,None,None
619,20260406_79,None,None,None,None
620,20260406_84,None,None,None,None
621,20260406_90,None,Reactive,Both,None
632,20260409_0,None,None,None,None
633,20260409_6,None,None,None,None
634,20260409_8,None,Reactive,None,None
635,20260409_12,Reactive,None,None,None
636,20260409_20,None,None,Reactive,None
637,20260409_31,None,Reactive,Reactive,None
638,20260409_37,None,None,Reactive,None
639,20260409_54,None,None,None,None
640,20260409_57,None,None,Reactive,None
641,20260409_90,None,None,None,None
642,20260409_100,Both,Both,Both,Both
643,20260409_106,None,None,Reactive,None
644,20260409_109,None,None,None,None
645,20260409_111,None,None,None,None
646,20260409_113,None,None,Reactive,None
647,20260410_3,Reactive,None,Reactive,None
648,20260410_7,None,None,None,None
649,20260410_16,None,None,None,None
650,20260410_25,Reactive,None,None,None
651,20260410_36,None,None,None,None
652,20260410_54,None,None,None,None
653,20260410_55,None,None,Reactive,None
654,20260410_86,Predictive,Reactive,Both,Both
655,20260410_90,None,None,None,None
656,20260410_105,Both,Both,Both,Both
657,20260410_112,None,None,None,Reactive
658,20260410_114,None,None,Both,None
659,20260410_116,None,None,None,None
660,20260410_118,None,None,Reactive,None
678,20260413_2,None,None,Reactive,None
679,20260413_5,None,Reactive,Reactive,None
680,20260413_10,None,Reactive,None,Reactive
681,20260413_25,None,None,None,None
682,20260413_41,None,None,None,None
683,20260413_43,None,None,Reactive,None
684,20260413_49,Reactive,Reactive,Both,Reactive
685,20260413_53,None,Reactive,Both,Both
686,20260413_55,None,None,Reactive,Predictive
687,20260413_62,Reactive,Reactive,Both,Both
688,20260413_73,None,None,Reactive,None
689,20260413_74,None,None,None,None
690,20260413_81,None,None,Reactive,None
691,20260413_91,Reactive,Reactive,Reactive,Reactive
692,20260413_95,None,Reactive,Reactive,Reactive
693,20260421_4,None,Reactive,Both,None
694,20260421_10,Reactive,Reactive,Both,Both
695,20260421_15,None,Reactive,Reactive,None
696,20260421_43,Reactive,None,Both,None
697,20260421_45,None,Reactive,Reactive,None
698,20260421_60,None,None,None,None
699,20260421_76,Reactive,Reactive,Both,None
700,20260421_77,None,Reactive,Both,Predictive
701,20260421_103,Reactive,None,Reactive,None
702,20260421_106,None,None,None,None
703,20260421_107,None,None,None,None
704,20260421_128,Reactive,Reactive,Reactive,None
705,20260421_135,Both,Predictive,Reactive,None
706,20260421_137,Reactive,Both,Reactive,None
